User,Trial,House,Condition,Phase,Actual,Answer,AnswerMin,AnswerMax,StartTime,SaveTime,EndTime,Duration,Reaction Time,Subjective Surprise,Confidence,Expectations,Trust,Trust Save Time,Yes Time,No time,Change,Second Estimation,Second Estimation Time,Weight of Advice,performance,rental_price,stars,,,,,,,
2,0,93,3,1,850,0,0,0,1657176297,0,1657176426,129,1657176426,0,0,0,0,0,0,0,0,0,0,0,0,850,0,,,,,,,
2,1,49,3,1,900,0,0,0,1657176426,0,1657176434,8,1657176434,0,0,0,0,0,0,0,0,0,0,0,0,900,0,,,,,,,
2,2,58,3,1,490,0,0,0,1657176434,0,1657176554,120,1657176554,0,0,0,0,0,0,0,0,0,0,0,0,490,0,,,,,,,
2,3,62,3,1,474,0,0,0,1657176554,0,1657176571,17,1657176571,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,
2,4,48,3,1,1149,0,0,0,1657176571,0,1657176584,13,1657176584,0,0,0,0,0,0,0,0,0,0,0,0,1149,0,,,,,,,
2,5,83,3,1,540,0,0,0,1657176584,0,1657176596,12,1657176596,0,0,0,0,0,0,0,0,0,0,0,0,540,0,,5-stars,4-stars,3-stars,2-stars,1-star,
2,6,1,3,1,355,0,0,0,1657176596,0,1657176603,7,1657176603,0,0,0,0,0,0,0,0,0,0,0,0,355,0,,4,13,9,4,0,
2,7,34,3,1,457,0,0,0,1657176603,0,1657176619,16,1657176619,0,0,0,0,0,0,0,0,0,0,0,0,457,0,,0.80,0.20,0.00,-0.20,-0.80,
2,8,64,3,1,930,0,0,0,1657176619,0,1657176626,7,1657176626,0,0,0,0,0,0,0,0,0,0,0,0,930,0,,3.2,2.6,0,-0.8,0,5
2,9,61,3,1,565,0,0,0,1657176626,0,1657176637,11,1657176637,0,0,0,0,0,0,0,0,0,0,0,0,565,0,,,,,,,
2,10,46,3,1,480,0,0,0,1657176637,0,1657176643,6,1657176643,0,0,0,0,0,0,0,0,0,0,0,0,480,0,,,,,,,
2,11,65,3,1,450,0,0,0,1657176643,0,1657176647,4,1657176647,0,0,0,0,0,0,0,0,0,0,0,0,450,0,,,,,,,
2,12,41,3,1,817,0,0,0,1657176647,0,1657176655,8,1657176655,0,0,0,0,0,0,0,0,0,0,0,0,817,0,,,,,,,
2,13,7,3,1,440,0,0,0,1657176655,0,1657176662,7,1657176662,0,0,0,0,0,0,0,0,0,0,0,0,440,0,,,,,,,
2,14,22,3,1,758,0,0,0,1657176662,0,1657176668,6,1657176668,0,0,0,0,0,0,0,0,0,0,0,0,758,0,,,,,,,
2,15,39,3,1,519,0,0,0,1657176668,0,1657176673,5,1657176673,0,0,0,0,0,0,0,0,0,0,0,0,519,0,,,,,,,
2,16,36,3,1,790,0,0,0,1657176673,0,1657176682,9,1657176682,0,0,0,0,0,0,0,0,0,0,0,0,790,0,,,,,,,
2,17,99,3,1,715,0,0,0,1657176682,0,1657176690,8,1657176690,0,0,0,0,0,0,0,0,0,0,0,0,715,0,,,,,,,
2,18,81,3,1,715,0,0,0,1657176690,0,1657176695,5,1657176695,0,0,0,0,0,0,0,0,0,0,0,0,715,0,,,,,,,
2,19,20,3,1,465,0,0,0,1657176695,0,1657176704,9,1657176704,0,0,0,0,0,0,0,0,0,0,0,0,465,0,,,,,,,
2,20,35,3,1,560,0,0,0,1657176704,0,1657176714,10,1657176714,0,0,0,0,0,0,0,0,0,0,0,0,560,0,,,,,,,
2,21,108,3,1,480,0,0,0,1657176715,0,1657176725,10,1657176725,0,0,0,0,0,0,0,0,0,0,0,0,480,0,,,,,,,
2,22,54,3,1,901,0,0,0,1657176725,0,1657176729,4,1657176729,0,0,0,0,0,0,0,0,0,0,0,0,901,0,,,,,,,
2,23,11,3,1,2000,0,0,0,1657176729,0,1657176738,9,1657176738,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,,,,,,,
2,24,13,3,1,285,0,0,0,1657176738,0,1657176886,148,1657176886,0,0,0,0,0,0,0,0,0,0,0,0,285,0,,,,,,,
2,25,100,3,1,895,0,0,0,1657176887,0,1657176898,11,1657176898,0,0,0,0,0,0,0,0,0,0,0,0,895,0,,,,,,,
2,26,3,3,1,640,0,0,0,1657176898,0,1657176906,8,1657176906,0,0,0,0,0,0,0,0,0,0,0,0,640,0,,,,,,,
