User,Trial,House,Condition,Phase,Actual,Answer,AnswerMin,AnswerMax,StartTime,SaveTime,EndTime,Duration,Reaction Time,Subjective Surprise,Confidence,Expectations,Trust,Trust Save Time,Yes Time,No time,Change,Second Estimation,Second Estimation Time,Weight of Advice,performance,rental_price,stars,,,,,,,
1,0,100,3,1,895,0,0,0,1657119394,0,1657119396,2,1657119396,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1,1,7,3,1,440,0,0,0,1657119396,0,1657119396,0,1657119396,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1,2,99,3,1,715,0,0,0,1657119396,0,1657119397,1,1657119397,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1,3,20,3,1,465,0,0,0,1657119397,0,1657119397,0,1657119397,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1,4,83,3,1,540,0,0,0,1657119397,0,1657119397,0,1657119397,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1,5,49,3,1,900,0,0,0,1657119398,0,1657119398,0,1657119398,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1,6,115,3,1,405,0,0,0,1657119398,0,1657119398,0,1657119398,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1,7,40,3,1,1950,0,0,0,1657119398,0,1657119399,1,1657119399,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1,8,22,3,1,758,0,0,0,1657119399,0,1657119399,0,1657119399,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1,9,39,3,1,519,0,0,0,1657119399,0,1657119399,0,1657119399,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1,10,3,3,1,640,0,0,0,1657119399,0,1657119399,0,1657119399,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1,11,61,3,1,565,0,0,0,1657119399,0,1657119400,1,1657119400,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1,12,108,3,1,480,0,0,0,1657119400,0,1657119400,0,1657119400,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1,13,46,3,1,480,0,0,0,1657119400,0,1657119400,0,1657119400,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
